# step source loss verdict alpha
313 0 2.3755 PASS 1.000
314 0 2.2876 PASS 1.000
315 0 2.4049 PASS 1.000
316 0 2.1477 PASS 1.000
317 0 2.2707 PASS 1.000
318 0 2.4627 PASS 1.000
319 0 2.4144 PASS 1.000
320 0 2.5229 PASS 1.000
321 0 2.1768 PASS 1.000
322 0 2.5525 PASS 1.000
323 0 2.1865 PASS 1.000
324 0 2.2915 PASS 1.000
325 0 2.3502 PASS 1.000
326 0 2.2805 PASS 1.000
327 1 2.4798 PASS 1.000
328 0 2.3374 PASS 1.000
329 0 2.0212 PASS 1.000
330 0 2.2499 PASS 1.000
331 0 2.2879 PASS 1.000
332 0 2.4639 PASS 1.000
333 1 6.9073 PASS 1.000
334 0 2.2132 PASS 1.000
335 1 2.4477 PASS 1.000
336 0 2.5899 PASS 1.000
337 0 1.9507 PASS 1.000
338 0 2.2393 PASS 1.000
339 0 2.6564 PASS 1.000
340 0 2.5190 PASS 1.000
341 0 2.6300 PASS 1.000
342 0 2.0597 PASS 1.000
343 0 2.2735 PASS 1.000
344 0 2.4665 PASS 1.000
345 0 2.1715 PASS 1.000
346 0 2.4331 PASS 1.000
347 0 2.2147 PASS 1.000
348 0 2.0957 PASS 1.000
349 0 2.4095 PASS 1.000
350 1 2.5435 PASS 1.000
351 0 2.6284 PASS 1.000
352 0 2.2755 PASS 1.000
353 0 2.0188 PASS 1.000
354 0 2.0957 PASS 1.000
355 0 2.1623 PASS 1.000
356 1 2.3591 PASS 1.000
357 0 2.2154 PASS 1.000
358 0 2.3691 PASS 1.000
359 0 2.4373 PASS 1.000
360 0 2.2771 PASS 1.000
361 0 2.4754 PASS 1.000
362 0 2.1226 PASS 1.000
363 0 2.1307 PASS 1.000
364 0 2.0928 PASS 1.000
365 0 2.1666 PASS 1.000
366 0 2.4946 PASS 1.000
367 0 2.2277 PASS 1.000
368 0 1.9599 PASS 1.000
369 0 2.2764 PASS 1.000
370 0 2.5279 PASS 1.000
371 0 2.2384 PASS 1.000
372 0 2.2622 PASS 1.000
373 0 2.6406 PASS 1.000
374 0 2.3363 PASS 1.000
375 0 2.0829 PASS 1.000
376 1 2.3961 PASS 1.000
377 0 2.1489 PASS 1.000
378 0 2.5155 PASS 1.000
379 0 2.2453 PASS 1.000
380 0 2.1633 PASS 1.000
381 0 2.3394 PASS 1.000
382 0 2.0151 PASS 1.000
383 0 2.2193 PASS 1.000
384 0 2.2412 PASS 1.000
385 0 2.0816 PASS 1.000
386 1 6.0298 PASS 1.000
387 0 2.6540 PASS 1.000
388 0 2.2614 PASS 1.000
389 0 2.0163 PASS 1.000
390 0 2.0908 PASS 1.000
391 0 2.3211 PASS 1.000
392 1 6.5809 PASS 1.000
393 0 2.2596 PASS 1.000
394 0 2.3204 PASS 1.000
395 0 2.4135 PASS 1.000
396 0 2.0947 PASS 1.000
397 0 2.5674 PASS 1.000
398 0 2.4257 PASS 1.000
399 0 2.2559 PASS 1.000
400 0 2.2409 PASS 1.000
401 0 2.4996 PASS 1.000
402 0 2.5203 PASS 1.000
403 0 2.2201 PASS 1.000
404 0 2.5078 PASS 1.000
405 0 2.3266 PASS 1.000
406 0 2.4303 PASS 1.000
407 0 2.1289 PASS 1.000
408 0 2.3395 PASS 1.000
409 0 2.1952 PASS 1.000
410 0 2.4127 PASS 1.000
411 0 2.1416 PASS 1.000
412 0 2.3440 PASS 1.000
413 0 2.4224 PASS 1.000
414 1 2.4532 PASS 1.000
415 0 2.6022 PASS 1.000
416 0 2.2355 PASS 1.000
417 0 2.2397 PASS 1.000
418 0 2.1131 PASS 1.000
419 0 2.2610 PASS 1.000
420 0 2.0603 PASS 1.000
421 0 2.2993 PASS 1.000
422 0 2.3501 PASS 1.000
423 0 2.2323 PASS 1.000
424 0 2.4030 PASS 1.000
425 0 2.4651 PASS 1.000
426 0 2.2355 PASS 1.000
427 0 1.9984 PASS 1.000
428 0 2.1764 PASS 1.000
429 0 2.8025 PASS 1.000
430 0 2.6240 PASS 1.000
431 0 2.2554 PASS 1.000
432 0 2.3650 PASS 1.000
433 0 2.4387 PASS 1.000
434 0 2.4246 PASS 1.000
435 0 2.1526 PASS 1.000
436 0 2.8322 PASS 1.000
437 0 2.1390 PASS 1.000
438 0 2.0553 PASS 1.000
439 0 1.9158 PASS 1.000
440 0 2.4054 PASS 1.000
441 0 2.1296 PASS 1.000
442 0 1.9746 PASS 1.000
443 0 2.1961 PASS 1.000
444 0 2.1339 PASS 1.000
445 0 2.0473 PASS 1.000
446 0 2.1755 PASS 1.000
447 1 4.9002 PASS 1.000
448 0 2.2121 PASS 1.000
449 0 2.2964 PASS 1.000
450 0 2.3437 PASS 1.000
451 0 2.2353 PASS 1.000
452 0 2.0857 PASS 1.000
453 0 2.1692 PASS 1.000
454 0 2.0977 PASS 1.000
455 0 2.3573 PASS 1.000
456 1 2.7029 PASS 1.000
457 0 2.3455 PASS 1.000
458 0 2.0955 PASS 1.000
459 0 2.5157 PASS 1.000
460 0 2.1982 PASS 1.000
461 1 2.4451 PASS 1.000
462 0 1.9766 PASS 1.000
463 0 2.3502 PASS 1.000
464 1 2.2890 PASS 1.000
465 0 2.3237 PASS 1.000
466 0 2.1037 PASS 1.000
467 0 2.4604 PASS 1.000
468 0 1.5029 PASS 1.000
469 0 2.3821 PASS 1.000
470 1 2.3442 PASS 1.000
471 0 2.0197 PASS 1.000
472 0 2.3823 PASS 1.000
