# step source loss verdict alpha
595 0 3.0317 WEAKEN 0.442
596 0 2.2807 WEAKEN 0.599
597 0 2.6919 WEAKEN 0.463
598 0 2.6631 WEAKEN 0.032
599 0 2.2544 WEAKEN 0.630
600 0 2.1459 PASS 1.000
601 0 2.1265 WEAKEN 0.816
602 0 2.2368 FREEZE 0.000
603 0 2.2136 WEAKEN 0.347
604 0 2.3805 FREEZE 0.000
605 0 2.1866 WEAKEN 0.648
606 0 2.0813 WEAKEN 0.838
607 0 2.2254 PASS 1.000
608 0 2.4665 WEAKEN 0.356
609 0 2.3007 WEAKEN 0.871
610 0 1.9408 WEAKEN 0.877
611 0 2.2225 WEAKEN 0.771
612 0 2.1526 WEAKEN 0.740
613 0 1.7721 WEAKEN 0.587
614 0 2.8692 FREEZE 0.000
615 0 2.4059 WEAKEN 0.624
616 0 2.4179 WEAKEN 0.118
617 0 2.5956 WEAKEN 0.539
618 0 2.3989 WEAKEN 0.363
619 0 2.3213 WEAKEN 0.201
620 0 2.3140 WEAKEN 0.519
621 0 2.8105 FREEZE 0.000
622 0 2.8032 WEAKEN 0.688
623 0 2.4829 WEAKEN 0.552
624 0 2.4736 WEAKEN 0.323
625 1 2.5836 FREEZE 0.000
626 0 2.2088 WEAKEN 0.630
627 1 6.6202 SILENCE 0.000
628 0 2.0132 WEAKEN 0.729
629 0 1.9773 WEAKEN 0.415
630 1 4.7035 FREEZE 0.000
631 0 2.3608 WEAKEN 0.304
632 1 8.0873 FREEZE 0.000
633 0 2.5804 WEAKEN 0.026
634 0 2.1129 WEAKEN 0.548
635 0 2.1446 PASS 1.000
636 0 2.1450 WEAKEN 0.384
637 0 2.1104 WEAKEN 0.737
638 0 2.2028 WEAKEN 0.941
639 1 9.2816 FREEZE 0.000
640 0 2.0548 WEAKEN 0.495
641 0 1.8777 WEAKEN 0.803
642 0 1.9475 WEAKEN 0.108
643 0 2.2878 WEAKEN 0.688
644 0 2.0881 PASS 1.000
645 0 2.0478 WEAKEN 0.628
646 0 2.3025 WEAKEN 0.457
647 0 2.0711 WEAKEN 0.960
648 0 2.3170 WEAKEN 0.909
649 0 2.0611 WEAKEN 0.287
650 0 2.2803 WEAKEN 0.764
651 0 2.2770 WEAKEN 0.211
652 1 2.5984 FREEZE 0.000
653 0 2.1837 WEAKEN 0.898
654 0 2.4826 WEAKEN 0.615
655 0 2.4755 FREEZE 0.000
656 1 8.0299 FREEZE 0.000
657 1 2.8873 FREEZE 0.000
658 0 1.9961 WEAKEN 0.066
659 0 2.2977 WEAKEN 0.561
660 0 2.3633 WEAKEN 0.777
661 0 2.1559 FREEZE 0.000
662 0 2.4575 FREEZE 0.000
663 1 2.9778 SCAR 0.000
664 0 2.3034 WEAKEN 0.327
665 0 2.2176 WEAKEN 0.544
666 0 2.5887 SILENCE 0.000
667 0 2.0033 WEAKEN 0.658
668 0 2.1803 FREEZE 0.000
669 0 2.5750 FREEZE 0.000
670 0 2.3773 WEAKEN 0.248
671 0 2.0970 WEAKEN 0.508
672 0 2.2241 WEAKEN 0.280
673 0 2.3383 WEAKEN 0.474
674 1 2.7147 SCAR 0.000
675 0 1.8296 PASS 1.000
676 0 2.8660 WEAKEN 0.076
677 0 2.2442 WEAKEN 0.518
678 1 2.6387 SILENCE 0.000
679 1 3.0086 SCAR 0.000
680 0 2.5314 WEAKEN 0.001
681 0 2.0741 WEAKEN 0.222
682 1 2.6371 SCAR 0.000
683 0 2.2146 WEAKEN 0.647
684 0 2.2328 FREEZE 0.000
685 0 1.9690 WEAKEN 0.671
686 0 2.0035 WEAKEN 0.904
687 0 2.2837 WEAKEN 0.460
688 0 2.0263 WEAKEN 0.645
689 0 2.1946 WEAKEN 0.266
690 0 2.1498 WEAKEN 0.766
691 0 1.9267 WEAKEN 0.624
692 0 2.1421 WEAKEN 0.587
693 0 2.2228 FREEZE 0.000
694 0 2.3889 WEAKEN 0.096
695 1 2.5229 SILENCE 0.000
696 0 2.3949 WEAKEN 0.364
697 0 2.0750 WEAKEN 0.884
698 0 2.4006 WEAKEN 0.026
699 0 2.7980 WEAKEN 0.222
700 0 2.3660 WEAKEN 0.063
701 1 2.8236 FREEZE 0.000
702 0 2.1401 WEAKEN 0.865
703 1 7.8508 FREEZE 0.000
704 0 2.0613 WEAKEN 0.124
705 0 2.0369 WEAKEN 0.612
706 0 2.2415 WEAKEN 0.281
707 0 2.3893 WEAKEN 0.230
708 0 1.8618 WEAKEN 0.843
709 0 2.1559 WEAKEN 0.801
710 0 1.9436 WEAKEN 0.542
