# step source loss verdict alpha
237 0 2.5389 WEAKEN 0.180
238 0 2.3733 WEAKEN 0.601
239 1 3.0348 SCAR 0.000
240 0 2.3553 WEAKEN 0.583
241 0 2.1199 WEAKEN 0.730
242 0 2.5320 WEAKEN 0.243
243 0 2.3188 WEAKEN 0.562
244 0 2.6565 WEAKEN 0.806
245 0 2.3681 PASS 1.000
246 0 2.3534 WEAKEN 0.431
247 0 2.6709 WEAKEN 0.746
248 0 2.4703 WEAKEN 0.238
249 0 2.6284 FREEZE 0.000
250 0 2.2498 WEAKEN 0.703
251 0 2.3684 FREEZE 0.000
252 0 2.4311 WEAKEN 0.225
253 0 2.7248 FREEZE 0.000
254 0 2.1660 WEAKEN 0.837
255 0 2.2712 WEAKEN 0.286
256 1 6.9159 FREEZE 0.000
257 0 2.7253 FREEZE 0.000
258 0 2.5984 WEAKEN 0.612
259 0 2.3711 WEAKEN 0.355
260 0 2.1811 WEAKEN 0.858
261 1 2.9416 DARK 0.000
262 0 2.4985 WEAKEN 0.490
263 0 2.8423 WEAKEN 0.079
264 0 2.7003 WEAKEN 0.301
265 0 2.6988 FREEZE 0.000
266 0 2.4615 WEAKEN 0.874
267 0 2.4990 WEAKEN 0.271
268 0 2.5104 WEAKEN 0.422
269 0 2.5647 WEAKEN 0.157
270 0 2.5536 WEAKEN 0.540
271 0 2.5218 WEAKEN 0.307
272 0 2.2939 WEAKEN 0.086
273 0 2.5997 WEAKEN 0.515
274 0 2.5659 FREEZE 0.000
275 0 2.7362 WEAKEN 0.423
276 0 2.2307 WEAKEN 0.188
277 0 2.4011 WEAKEN 0.379
278 0 2.2315 WEAKEN 0.902
279 0 2.4467 WEAKEN 0.011
280 0 2.2601 WEAKEN 0.945
281 0 2.5166 WEAKEN 0.672
282 0 2.6638 FREEZE 0.000
283 0 2.3447 WEAKEN 0.121
284 0 2.3621 WEAKEN 0.432
285 0 2.4253 WEAKEN 0.754
286 0 2.2408 PASS 1.000
287 0 2.7287 WEAKEN 0.019
288 0 2.6578 FREEZE 0.000
289 0 2.3433 WEAKEN 0.645
290 0 2.5208 WEAKEN 0.367
291 0 2.3118 WEAKEN 0.773
292 0 2.4881 FREEZE 0.000
293 0 2.6843 FREEZE 0.000
294 0 2.2889 WEAKEN 0.492
295 0 2.6313 FREEZE 0.000
296 0 2.3759 WEAKEN 0.191
297 0 2.2982 WEAKEN 0.322
298 0 2.4517 WEAKEN 0.017
299 1 8.4774 FREEZE 0.000
300 0 2.6681 WEAKEN 0.296
301 0 2.2775 WEAKEN 0.956
302 0 2.5610 WEAKEN 0.914
303 0 2.1240 WEAKEN 0.927
304 0 2.1923 WEAKEN 0.666
305 0 2.4200 WEAKEN 0.024
306 0 2.5989 WEAKEN 0.072
307 0 2.4325 WEAKEN 0.497
308 0 2.3237 WEAKEN 0.636
309 0 2.0879 WEAKEN 0.849
310 0 2.5044 FREEZE 0.000
311 0 2.3148 WEAKEN 0.182
312 1 2.9363 SCAR 0.000
