# step source loss verdict alpha
217 1 3.0214 SCAR 0.000
218 0 2.4154 PASS 1.000
219 1 3.0747 SCAR 0.000
220 0 2.6251 WEAKEN 0.215
221 0 2.4403 WEAKEN 0.834
222 0 2.4781 WEAKEN 0.935
223 0 2.9587 FREEZE 0.000
224 0 2.2503 WEAKEN 0.961
225 0 2.4181 PASS 1.000
226 0 2.3603 WEAKEN 0.160
227 0 2.4419 WEAKEN 0.533
228 1 2.7316 SILENCE 0.000
229 0 2.3067 WEAKEN 0.509
230 0 2.3516 WEAKEN 0.442
231 0 2.1928 WEAKEN 0.864
232 0 2.8560 WEAKEN 0.687
233 0 2.4326 WEAKEN 0.593
234 0 2.6312 FREEZE 0.000
235 0 2.0703 PASS 1.000
236 0 2.8847 FREEZE 0.000
237 0 2.5369 WEAKEN 0.233
238 0 2.3510 WEAKEN 0.670
239 1 3.0494 SCAR 0.000
240 0 2.3525 WEAKEN 0.674
241 0 2.1083 WEAKEN 0.842
242 0 2.4939 WEAKEN 0.311
243 0 2.3083 WEAKEN 0.662
244 0 2.6580 WEAKEN 0.875
245 0 2.3602 PASS 1.000
246 0 2.3492 WEAKEN 0.470
247 0 2.7123 WEAKEN 0.835
248 0 2.4364 WEAKEN 0.303
249 0 2.6257 FREEZE 0.000
250 0 2.2160 WEAKEN 0.804
251 0 2.3486 FREEZE 0.000
252 0 2.4418 WEAKEN 0.298
253 0 2.7234 FREEZE 0.000
254 0 2.1352 WEAKEN 0.917
255 0 2.2803 WEAKEN 0.390
256 1 6.5386 FREEZE 0.000
257 0 2.7195 FREEZE 0.000
258 0 2.5916 WEAKEN 0.717
259 0 2.3851 WEAKEN 0.419
260 0 2.1319 WEAKEN 0.947
261 1 2.9698 DARK 0.000
262 0 2.5571 WEAKEN 0.541
263 0 2.8705 WEAKEN 0.105
264 0 2.6710 WEAKEN 0.339
265 0 2.6911 FREEZE 0.000
266 0 2.5060 WEAKEN 0.948
267 0 2.4964 WEAKEN 0.343
268 0 2.5379 WEAKEN 0.511
269 0 2.6138 WEAKEN 0.219
270 0 2.5513 WEAKEN 0.597
271 0 2.5359 WEAKEN 0.372
272 0 2.3015 WEAKEN 0.159
273 0 2.5676 WEAKEN 0.571
274 0 2.5564 FREEZE 0.000
275 0 2.6921 WEAKEN 0.501
276 0 2.2352 WEAKEN 0.254
277 0 2.3837 WEAKEN 0.481
278 0 2.2252 WEAKEN 1.000
279 0 2.4328 WEAKEN 0.049
280 0 2.2054 PASS 1.000
281 0 2.5263 WEAKEN 0.734
282 0 2.6267 FREEZE 0.000
283 0 2.3905 WEAKEN 0.141
284 0 2.3487 WEAKEN 0.502
285 0 2.4147 WEAKEN 0.854
286 0 2.2415 PASS 1.000
287 0 2.6853 WEAKEN 0.073
288 0 2.6843 FREEZE 0.000
289 0 2.2862 WEAKEN 0.733
290 0 2.5045 WEAKEN 0.412
291 0 2.3928 WEAKEN 0.857
292 0 2.4711 FREEZE 0.000
293 0 2.7206 FREEZE 0.000
294 0 2.3044 WEAKEN 0.592
295 0 2.6855 FREEZE 0.000
296 0 2.3284 WEAKEN 0.274
297 0 2.3268 WEAKEN 0.379
298 0 2.4474 WEAKEN 0.062
